entryType,typistName,timestamp,finishingPosition,wpm,accuracyPercent,burnoutTurns,burnoutEvents,points,earnings,adjustmentAmount,reason
RACE,Enter name of typist,2026-04-30T09:01:44.099409,2,13,81.8200,9,3,0,0,0,
RACE,Enter name of typist,2026-04-30T09:01:44.105949,1,15,100.0000,12,4,1,10,0,
RACE,Enter name of typist,2026-04-30T12:21:57.531062,1,15,100.0000,6,2,3,20,0,
RACE,Enter name of typist,2026-04-30T12:50:31.606842,1,22,100.0000,3,1,5,35,0,
RACE,Enter name of typist,2026-04-30T12:50:31.610619,2,8,38.6400,6,2,0,0,0,
RACE,Enter name of typist,2026-04-30T13:11:36.941041,2,16,86.3600,0,0,4,20,0,
RACE,Enter name of typist,2026-04-30T14:00:48.813819,1,14,100.0000,12,4,0,5,0,
RACE,Enter name of typist,2026-04-30T14:02:17.274658,1,23,100.0000,0,0,6,40,0,
RACE,Enter name of typist,2026-04-30T23:36:20.09313,1,16,100.0000,9,3,2,15,0,
RACE,Enter name of typist,2026-05-01T08:35:59.753706,2,20,63.6400,3,1,4,25,0,
ADJUSTMENT,Enter name of typist,2026-05-01T09:32:31.309613,,,,,,,,25,wrist support upgrade
ADJUSTMENT,Enter name of typist,2026-05-01T09:32:36.393104,,,,,,,,20,Keyboard upgrade: Stenography
RACE,Collin,2026-04-30T09:03:24.718163,2,4,22.7300,12,4,-2,0,0,
RACE,Collin,2026-04-30T09:06:00.936003,2,13,64.2900,3,1,2,10,0,
RACE,Collin,2026-04-30T09:08:08.318864,1,18,100.0000,18,6,-1,0,0,
RACE,Collin,2026-04-30T12:21:57.527317,2,12,81.8200,3,1,2,10,0,
RACE,Collin,2026-04-30T13:11:36.937576,1,18,100.0000,0,0,5,30,0,
RACE,Collin,2026-04-30T13:19:26.561062,2,11,72.7300,2,1,2,10,0,
RACE,Collin,2026-04-30T14:00:48.808599,2,13,95.9300,6,3,0,0,0,
RACE,Collin,2026-04-30T14:02:17.268101,2,15,65.9100,0,0,4,20,0,
RACE,Collin,2026-04-30T14:33:09.570553,2,12,77.2700,3,1,2,10,0,
RACE,Collin,2026-04-30T14:37:10.909662,1,19,100.0000,0,0,5,30,0,
RACE,Collin,2026-04-30T14:41:17.37417,2,11,70.4500,6,2,1,5,0,
RACE,Collin,2026-04-30T14:50:58.07056,1,15,100.0000,6,2,3,20,0,
RACE,Collin,2026-04-30T23:36:20.084406,2,12,79.5500,6,2,1,5,0,
ADJUSTMENT,Collin,2026-05-01T09:02:51.072719,,,,,,,,10,Keyboard upgrade: Membrane
ADJUSTMENT,Collin,2026-05-01T09:02:53.288537,,,,,,,,5,Keyboard upgrade: Touchscreen
ADJUSTMENT,Collin,2026-05-01T09:02:56.038349,,,,,,,,5,Keyboard upgrade: Stenography
RACE,Henry,2026-04-30T09:03:24.721788,1,17,100.0000,0,0,5,30,0,
RACE,Henry,2026-04-30T09:06:00.937969,1,20,100.0000,0,0,6,40,0,
RACE,Henry,2026-04-30T09:08:08.320748,2,14,80.4900,0,0,3,15,0,
RACE,Henry,2026-04-30T13:19:26.565051,1,15,100.0000,0,0,5,30,0,
RACE,Henry,2026-04-30T14:18:42.129821,1,17,100.0000,3,1,4,25,0,
RACE,Henry,2026-04-30T14:33:09.576397,1,16,100.0000,0,0,5,30,0,
RACE,Henry,2026-04-30T14:37:10.903888,2,12,63.6400,0,0,3,15,0,
RACE,Henry,2026-04-30T14:41:17.380534,1,15,100.0000,6,2,3,20,0,
RACE,Henry,2026-04-30T14:50:58.076059,2,10,70.4500,3,1,2,10,0,
RACE,Henry,2026-04-30T14:56:13.829662,2,8,47.7300,3,1,1,5,0,
ADJUSTMENT,Henry,2026-05-01T09:02:22.57746,,,,,,,,25,wrist support upgrade
ADJUSTMENT,Henry,2026-05-01T09:18:01.731041,,,,,,,,25,wrist support upgrade
ADJUSTMENT,Henry,2026-05-01T09:18:09.876987,,,,,,,,10,Keyboard upgrade: Membrane
ADJUSTMENT,Henry,2026-05-01T09:18:11.563278,,,,,,,,5,Keyboard upgrade: Touchscreen
ADJUSTMENT,Henry,2026-05-01T09:18:14.35763,,,,,,,,5,Keyboard upgrade: Stenography
ADJUSTMENT,Henry,2026-05-01T09:30:32.474861,,,,,,,,10,Keyboard upgrade: Membrane
ADJUSTMENT,Henry,2026-05-01T09:30:34.996464,,,,,,,,5,Keyboard upgrade: Touchscreen
ADJUSTMENT,Henry,2026-05-01T09:30:36.938612,,,,,,,,5,Keyboard upgrade: Stenography
ADJUSTMENT,Henry,2026-05-01T09:30:47.749104,,,,,,,,25,wrist support upgrade
RACE,Alex,2026-04-30T14:18:42.123956,2,15,88.6400,6,2,2,10,0,
RACE,Alex,2026-04-30T14:56:13.82143,1,17,100.0000,6,2,3,20,0,
RACE,Alex,2026-05-01T08:35:59.747308,1,31,100.0000,3,1,5,35,0,
ADJUSTMENT,Alex,2026-05-01T08:43:43.865656,,,,,,,,25,better keyboard upgrade
ADJUSTMENT,Alex,2026-05-01T08:51:17.345999,,,,,,,,25,wrist support upgrade
ADJUSTMENT,Alex,2026-05-01T08:56:41.47453,,,,,,,,25,wrist support upgrade
